county,total_subsidies_1995_2021,perc_state_total,state_abb,state
"Gaines County, Texas",1476802523,0.033,TX,Texas
"Hale County, Texas",1159637316,0.026,TX,Texas
"Dawson County, Texas",1110737641,0.025,TX,Texas
"Terry County, Texas",987748081,0.022,TX,Texas
"Wharton County, Texas",954867910,0.021,TX,Texas
"Lamb County, Texas",928633397,0.021,TX,Texas
"Floyd County, Texas",877686118,0.02,TX,Texas
"Lubbock County, Texas",874170512,0.02,TX,Texas
"Lynn County, Texas",830835732,0.019,TX,Texas
"Hockley County, Texas",830765051,0.019,TX,Texas
"Parmer County, Texas",813294238,0.018,TX,Texas
"Deaf Smith County, Texas",783123450,0.018,TX,Texas
"Castro County, Texas",761982788,0.017,TX,Texas
"Swisher County, Texas",733971055,0.017,TX,Texas
"Nueces County, Texas",671759938,0.015,TX,Texas
"Hidalgo County, Texas",632857621,0.014,TX,Texas
"Crosby County, Texas",595652736,0.013,TX,Texas
"Yoakum County, Texas",561327233,0.013,TX,Texas
"San Patricio County, Texas",556674369,0.013,TX,Texas
"Martin County, Texas",550781170,0.012,TX,Texas
"Cochran County, Texas",544765006,0.012,TX,Texas
"Matagorda County, Texas",513809035,0.012,TX,Texas
"Bailey County, Texas",509141200,0.011,TX,Texas
"Dallam County, Texas",506607744,0.011,TX,Texas
"Hansford County, Texas",478410366,0.011,TX,Texas
"Sherman County, Texas",477275093,0.011,TX,Texas
"Jackson County, Texas",474934257,0.011,TX,Texas
"Howard County, Texas",463780577,0.01,TX,Texas
"Haskell County, Texas",451758576,0.01,TX,Texas
"Tom Green County, Texas",429929957,0.01,TX,Texas
"Cameron County, Texas",428452287,0.01,TX,Texas
"Jones County, Texas",427408467,0.01,TX,Texas
"Hartley County, Texas",425046837,0.01,TX,Texas
"Willacy County, Texas",398397008,0.009,TX,Texas
"Moore County, Texas",392152104,0.009,TX,Texas
"Fisher County, Texas",388443594,0.009,TX,Texas
"Ochiltree County, Texas",364497572,0.008,TX,Texas
"Collingsworth County, Texas",352349163,0.008,TX,Texas
"Glasscock County, Texas",348476617,0.008,TX,Texas
"Colorado County, Texas",341949717,0.008,TX,Texas
"Carson County, Texas",339107601,0.008,TX,Texas
"Hall County, Texas",327361336,0.007,TX,Texas
"Runnels County, Texas",322395990,0.007,TX,Texas
"Hill County, Texas",301066676,0.007,TX,Texas
"Fort Bend County, Texas",286820069,0.006,TX,Texas
"Brazoria County, Texas",282573705,0.006,TX,Texas
"Scurry County, Texas",281977551,0.006,TX,Texas
"Williamson County, Texas",272669235,0.006,TX,Texas
