fips,state,county,perc.obese,perc.obese.95ci.low,perc.obese.95ci.high,perc.obese.quart,prev.hosp.rate,prev.hosp.rate.quart,county.deaths,yppl.rate,yppl.rate.95ci.low,yppl.rate.95ci.high,yppl.rate.quart,perc.smoke,perc.smoke.95ci.low,perc.smoke.95ci.high,perc.smoke.quart,perc.inactive,perc.inactive.95ci.low,perc.inactive.95ci.high,perc.inactive.quart,count.highschl,county.pop,perc.highschl,perc.highscl.95ci.low,perc.highscl.95ci.high,perc.highscl.quart,perc.childpov,perc.childpov.95ci.low,perc.childpov.95ci.high,perc.childpov.quart,income.ratio,income.ratio.quart
01000,Alabama,,36,,,,5466,,82249,9820,9718,9922,,20,19,21,,29,,,,2861955,3320877,86,86,86,,22,21,23,,5.2,
01001,Alabama,Autauga,33,27,39,1,6650,4,787,7830,6998,8662,1,20,17,23,1,31,25,37,2,33076,37367,89,87,90,1,16,11,21,1,5.1,2
01003,Alabama,Baldwin,30,27,33,1,3471,1,3147,7680,7237,8124,1,19,16,22,1,25,22,28,1,137219,151112,91,90,92,1,14,9,18,1,4.4,1
01005,Alabama,Barbour,41,34,49,3,5314,2,515,11477,9908,13045,3,26,23,28,4,28,22,35,1,13152,17964,73,71,75,4,41,29,53,4,6.0,4
01007,Alabama,Bibb,37,30,46,3,6690,4,476,12173,10506,13839,4,23,21,26,2,33,26,41,3,12782,16168,79,75,83,4,26,17,34,3,5.0,2
01009,Alabama,Blount,33,27,39,1,4440,1,1100,11096,10087,12105,3,23,20,26,2,33,28,39,3,32028,39791,80,78,82,3,21,16,26,1,4.4,1
01011,Alabama,Bullock,47,30,62,4,5645,2,189,10802,8440,13163,2,25,22,28,4,42,29,56,4,5303,7101,75,68,81,4,40,24,56,4,5.6,4
01013,Alabama,Butler,47,38,55,4,8070,4,398,12848,10897,14799,4,23,20,25,2,40,32,49,4,11753,13819,85,83,87,2,35,24,45,4,5.0,2
01015,Alabama,Calhoun,40,36,44,3,5879,3,2340,11327,10628,12025,3,21,18,24,1,31,28,35,2,66793,79108,84,83,86,2,25,18,31,2,4.8,2
01017,Alabama,Chambers,42,34,50,4,5784,3,635,10371,9066,11677,2,23,21,25,3,29,22,36,1,19417,23789,82,79,84,3,30,21,40,4,4.8,1
01019,Alabama,Cherokee,38,31,46,3,5178,2,571,11737,10056,13417,3,24,20,27,3,30,24,38,2,15396,18874,82,79,84,3,23,14,32,2,4.8,2
01021,Alabama,Chilton,42,35,49,4,3869,1,814,10109,9049,11169,2,23,21,26,3,33,27,40,3,24572,30046,82,80,84,3,23,16,30,2,4.9,2
