FIPS,FIPSTEXT,y17_M110_valueText,y17_M110_classRange,y17_M110_valueNumeric,y17_M111_valueText,y17_M111_classRange,y17_M111_valueNumeric,y17_M112_valueText,y17_M112_classRange,y17_M112_valueNumeric,y17_M113_valueText,y17_M113_classRange,y17_M113_valueNumeric,y17_M114_valueText,y17_M114_classRange,y17_M114_valueNumeric,y17_M115_valueText,y17_M115_classRange,y17_M115_valueNumeric,y17_M116_valueText,y17_M116_classRange,y17_M116_valueNumeric,y17_M117_valueText,y17_M117_classRange,y17_M117_valueNumeric,y17_M118_valueText,y17_M118_classRange,y17_M118_valueNumeric,y17_M119_valueText,y17_M119_classRange,y17_M119_valueNumeric,y17_M120_valueText,y17_M120_classRange,y17_M120_valueNumeric,y17_M121_valueText,y17_M121_classRange,y17_M121_valueNumeric,y17_M122_valueText,y17_M122_classRange,y17_M122_valueNumeric
0,00000,1.18,,1.18,10,,10.00,41261670,,41261670.00,44.06,,44.06,1.03,,1.03,1.44,,1.44,69812061,,69812061.00,1.72,,1.72,0.05,,0.05,2698636,,2698636.00,537799,,537799.00,2006439,,2006439.00,2847289,,2847289.00
1001,01001,0.20,Sparse Data,0.20,15,10 - 24,15.00,8678,"Less than 10,000",8678.00,52.70,45 - 54,52.70,-0.99,Sparse Data,-0.99,0.14,Sparse Data,0.14,7667,"Less than 20,000",7667.00,1.10,Sparse Data,1.10,(D),Sparse Data,,1189,"1,000 - 1,499",1189.00,81,Less than 100,81.00,1003,"1,000 - 1,499",1003.00,479,100 - 499,479.00
1003,01003,0.26,Negligible Change,0.26,13,10 - 24,13.00,11237,"10,000 - 24,999",11237.00,50.21,45 - 54,50.21,-0.58,Sparse Data,-0.58,0.25,Negligible Change,0.25,10352,"Less than 20,000",10352.00,-0.06,Sparse Data,-0.06,0.53,Sparse Data,0.53,940,500 - 999,940.00,169,100 - 499,169.00,771,500 - 999,771.00,1309,"1,000 - 1,499",1309.00
1005,01005,0.55,Negligible Change,0.55,15,10 - 24,15.00,13094,"10,000 - 24,999",13094.00,58.07,55 - 64,58.07,(D),Sparse Data,,(D),Negligible Change,,10266,"Less than 20,000",10266.00,(D),Sparse Data,,0.30,Sparse Data,0.30,272,100 - 499,272.00,(D),Less than 100,,224,100 - 499,224.00,250,100 - 499,250.00
1007,01007,0.78,Negligible Change,0.78,14,10 - 24,14.00,4362,"Less than 10,000",4362.00,54.47,45 - 54,54.47,(D),Sparse Data,,(D),Sparse Data,,2396,"Less than 20,000",2396.00,(D),Sparse Data,,-1.07,Sparse Data,-1.07,355,100 - 499,355.00,80,Less than 100,80.00,275,100 - 499,275.00,377,100 - 499,377.00
1009,01009,0.67,Negligible Change,0.67,31,25 - 49,31.00,21987,"10,000 - 24,999",21987.00,47.43,45 - 54,47.43,(D),Sparse Data,,(D),Sparse Data,,21601,"20,000 - 49,999",21601.00,0.53,Sparse Data,0.53,0.53,Negligible Change,0.53,594,500 - 999,594.00,103,100 - 499,103.00,398,100 - 499,398.00,1499,"1,000 - 1,499",1499.00
1011,01011,0.38,Sparse Data,0.38,9,Less than 10,9.00,6316,"Less than 10,000",6316.00,60.59,55 - 64,60.59,(D),Sparse Data,,(D),Sparse Data,,4594,"Less than 20,000",4594.00,0.81,Sparse Data,0.81,(D),Sparse Data,,518,500 - 999,518.00,0,Less than 100,0.00,518,500 - 999,518.00,269,100 - 499,269.00
1013,01013,0.39,Sparse Data,0.39,12,10 - 24,12.00,6396,"Less than 10,000",6396.00,64.29,55 - 64,64.29,(D),Sparse Data,,(D),Sparse Data,,4518,"Less than 20,000",4518.00,(D),Sparse Data,,(D),Sparse Data,,645,500 - 999,645.00,(D),Less than 100,,613,500 - 999,613.00,481,100 - 499,481.00
1015,01015,0.95,Negligible Change,0.95,23,10 - 24,23.00,11516,"10,000 - 24,999",11516.00,56.16,55 - 64,56.16,-0.22,Sparse Data,-0.22,0.76,Negligible Change,0.76,7563,"Less than 20,000",7563.00,(D),Sparse Data,,0.43,Sparse Data,0.43,987,500 - 999,987.00,(D),100 - 499,,861,500 - 999,861.00,1684,"1,500 - 1,999",1684.00
1017,01017,0.37,Negligible Change,0.37,16,10 - 24,16.00,10797,"10,000 - 24,999",10797.00,53.33,45 - 54,53.33,0.34,Sparse Data,0.34,0.35,Negligible Change,0.35,7787,"Less than 20,000",7787.00,-1.15,Sparse Data,-1.15,0.23,Sparse Data,0.23,592,500 - 999,592.00,0,Less than 100,0.00,(D),500 - 999,,412,100 - 499,412.00
1019,01019,-0.08,Sparse Data,-0.08,11,10 - 24,11.00,7415,"Less than 10,000",7415.00,57.82,55 - 64,57.82,(D),Sparse Data,,(D),Sparse Data,,5309,"Less than 20,000",5309.00,(D),Sparse Data,,-0.89,Negligible Change,-0.89,473,100 - 499,473.00,85,Less than 100,85.00,388,100 - 499,388.00,506,500 - 999,506.00
1021,01021,0.19,Sparse Data,0.19,17,10 - 24,17.00,7290,"Less than 10,000",7290.00,54.85,45 - 54,54.85,(D),Sparse Data,,(D),Sparse Data,,6647,"Less than 20,000",6647.00,(D),Sparse Data,,-0.01,Sparse Data,-0.01,728,500 - 999,728.00,35,Less than 100,35.00,684,500 - 999,684.00,707,500 - 999,707.00
