state,pop2017,pop2018,pop2019
Alabama,4874486,4887681,4903185
Arizona,7044008,7158024,7278717
California,39358497,39461588,39512223
Colorado,5611885,5691287,5758736
Connecticut,3573297,3571520,3565287
Florida,20963613,21244317,21477737
Georgia,10410330,10511131,10617423
Illinois,12778828,12723071,12671821
Indiana,6658078,6695497,6732219
Kansas,2908718,2911359,2913314
Kentucky,4452268,4461153,4467673
Louisiana,4670560,4659690,4648794
Maryland,6023868,6035802,6045680
Massachusetts,6859789,6882635,6892503
Michigan,9973114,9984072,9986857
Minnesota,5566230,5606249,5639632
Mississippi,2988510,2981020,2976149
Missouri,6106670,6121623,6137428
Nevada,2969905,3027341,3080156
New Jersey,8885525,8886025,8882190
New York State,19589572,19530351,19453561
North Carolina,10268233,10381615,10488084
Ohio,11659650,11676341,11689100
Oregon,4143625,4181886,4217737
Pennsylvania,12787641,12800922,12801989
South Carolina,5021268,5084156,5148714
Tennessee,6708799,6771631,6829174
Texas,28295273,28628666,28995881
Virginia,8463587,8501286,8535519
Washington,7423362,7523869,7614893
Wisconsin,5790186,5807406,5822434
